scientific_name,latitude,longitude,url,image_url,observed_on,phenology,year,month
Yucca jaegeriana,36.425288,-115.419788,https://www.inaturalist.org/observations/19953153,https://inaturalist-open-data.s3.amazonaws.com/photos/30787041/medium.jpg,2012-05-06,No Evidence of Flowering,2012,5
Yucca brevifolia,34.0244941064,-116.142911911,https://www.inaturalist.org/observations/9977216,https://inaturalist-open-data.s3.amazonaws.com/photos/13709642/medium.jpeg,2012-07-02,No Evidence of Flowering,2012,7
Yucca jaegeriana,36.1180649191,-115.444303751,https://www.inaturalist.org/observations/9082559,https://inaturalist-open-data.s3.amazonaws.com/photos/12265130/medium.jpg,2012-12-18,No Evidence of Flowering,2012,12
Yucca brevifolia,35.363296,-117.977457,https://www.inaturalist.org/observations/7632642,https://static.inaturalist.org/photos/9981827/medium.jpg,2012-06-03,No Evidence of Flowering,2012,6
Yucca jaegeriana,35.5146668328,-115.7119217003,http://www.inaturalist.org/observations/4528904,https://inaturalist-open-data.s3.amazonaws.com/photos/5485725/medium.jpg,2012-09-01,No Evidence of Flowering,2012,9
Yucca brevifolia,34.02485,-116.142665,http://www.inaturalist.org/observations/1754117,https://inaturalist-open-data.s3.amazonaws.com/photos/2129367/medium.JPG,2012-10-13,No Evidence of Flowering,2012,10
Yucca brevifolia,34.024121,-116.142858,http://www.inaturalist.org/observations/1754089,https://inaturalist-open-data.s3.amazonaws.com/photos/2129325/medium.JPG,2012-10-13,No Evidence of Flowering,2012,10
Yucca brevifolia,34.027651,-116.147059,http://www.inaturalist.org/observations/1754087,https://inaturalist-open-data.s3.amazonaws.com/photos/2129323/medium.JPG,2012-10-13,No Evidence of Flowering,2012,10
Yucca brevifolia,34.024885,-116.14678,http://www.inaturalist.org/observations/1754086,https://inaturalist-open-data.s3.amazonaws.com/photos/2129322/medium.JPG,2012-10-13,No Evidence of Flowering,2012,10
Yucca brevifolia,34.661254,-117.812405,http://www.inaturalist.org/observations/555253,https://inaturalist-open-data.s3.amazonaws.com/photos/707867/medium.jpg,2012-12-23,No Evidence of Flowering,2012,12
Yucca brevifolia,34.66885,-118.196323,http://www.inaturalist.org/observations/252317,https://inaturalist-open-data.s3.amazonaws.com/photos/314499/medium.jpg,2013-03-26,Flower Budding,2013,3
Yucca brevifolia,34.668468,-118.195912,http://www.inaturalist.org/observations/252315,https://inaturalist-open-data.s3.amazonaws.com/photos/314497/medium.jpg,2013-03-26,Flower Budding,2013,3
Yucca brevifolia,34.6500931298,-117.8525073114,https://www.inaturalist.org/observations/253686606,https://inaturalist-open-data.s3.amazonaws.com/photos/454284904/medium.jpeg,2013-04-03,Flowering,2013,4
Yucca brevifolia,34.1297242664,-116.0631260913,https://www.inaturalist.org/observations/184966103,https://inaturalist-open-data.s3.amazonaws.com/photos/322938677/medium.jpeg,2013-06-26,Flowering,2013,6
